Company,Ticker,Net Income,Operating Income,Revenue,COGS,Equity,Debt,Current Assets,Current Liabilities,Inventory,Share Price,EPS (TTM),Shares Outstanding,Total Assets,Current Ratio,Debt to Equity,Inventory Turnover,Return on Equity (ROE),Operating Margin,P/E Ratio,Book Value per Share,Asset Turnover,Debt Ratio,Net Profit Margin
Sun Pharma,SUNPHARMA.NS,26545800000.0,24789900000.0,118133300000.0,37874600000.0,636667500000.0,32736700000.0,434749800000.0,169844000000.0,98682900000.0,1683.6,47.78,2399330048,854628800000.0,2.559700666493959,0.05141883322142248,0.38380104354452493,0.041694919247487895,0.20984684250757407,35.23650062787777,265.35219718133584,0.13822761414078252,0.038305168278906586,0.22471056001990972
Dr. Reddy's,DRREDDY.NS,13070000000.0,13278000000.0,70830000000.0,29347000000.0,280550000000.0,20020000000.0,248049000000.0,96039000000.0,63552000000.0,1230.1,67.83,832003008,387518000000.0,2.5827944897385438,0.07135982890750311,0.4617793303121853,0.04658706112992336,0.18746293943244388,18.13504349108064,337.1983001292226,0.18277860641312146,0.05166211634040225,0.18452633065085416
Cipla,CIPLA.NS,9390400000.0,11561500000.0,60823700000.0,28229300000.0,267064300000.0,5594100000.0,194414100000.0,52457700000.0,52379500000.0,1484.2,65.2,807640000,327178200000.0,3.706111781492517,0.0209466409400283,0.5389379432793364,0.03516156970437456,0.1900821554755794,22.763803680981596,330.6724530731514,0.18590388968458169,0.01709802181196669,0.15438718788893147
Divi's Labs,DIVISLAB.NS,5380000000.0,6430000000.0,22540000000.0,10420000000.0,135710000000.0,30000000.0,96750000000.0,12780000000.0,31840000000.0,6483.0,82.38,265468992,154700000000.0,7.570422535211268,0.0002210596124088129,0.32726130653266333,0.03964335715864711,0.2852706299911269,78.69628550619083,511.2084804239585,0.14570135746606336,0.00019392372333548803,0.23868677905944988
Aurobindo Pharma,AUROPHARMA.NS,9087500000.0,14021300000.0,74919200000.0,36941900000.0,298428000000.0,66476300000.0,242056300000.0,121991300000.0,98082300000.0,1197.1,59.77,580801984,450715100000.0,1.98420952969597,0.2227549023550069,0.3766418609677791,0.030451231117723538,0.18715229206932268,20.028442362389157,513.8205588498816,0.16622296435153824,0.14749073195018317,0.12129734433896784
Lupin,LUPIN.NS,3594300000.0,7331000000.0,48951100000.0,20771500000.0,142902900000.0,29217700000.0,134476500000.0,85015000000.0,49539000000.0,1978.9,71.66,456616992,239971800000.0,1.5817973298829617,0.2044584119706458,0.4192959082742889,0.02515204380037074,0.14976170096279756,27.615126988557076,312.960101143148,0.20398688512566893,0.12175472284660115,0.07342633771253353
Zydus Lifesciences,ZYDUSLIFE.NS,11823000000.0,14202000000.0,53664000000.0,18837000000.0,198295000000.0,8042000000.0,115014000000.0,53419000000.0,34419000000.0,908.6,44.99,1006230016,292808000000.0,2.153054156760703,0.04055573766358204,0.5472849298352654,0.05962328853475882,0.26464669051878353,20.195599022004888,197.06726776872455,0.18327368104696592,0.0274650965820606,0.22031529516994633
Torrent Pharma,TORNTPHARM.NS,4493800000.0,6923500000.0,26953100000.0,7807300000.0,68561500000.0,40219400000.0,56114800000.0,54252500000.0,22790700000.0,3174.7,56.53,338444992,150605800000.0,1.034326528731395,0.58661785404345,0.34256516912600316,0.0655440735689855,0.2568721223161714,56.159561294887666,202.57797166636757,0.17896455514993445,0.26705080415229693,0.16672664739862947
Alkem Labs,ALKEM.NS,2935600000.0,3572200000.0,27074800000.0,12015900000.0,103120600000.0,14184100000.0,104115800000.0,39945500000.0,26611800000.0,5288.0,180.17,119565000,155749000000.0,2.60644628306067,0.1375486566214704,0.45152526322909387,0.02846763886168234,0.13193818606231625,29.350058278292725,862.4647681177602,0.17383610809700223,0.09107024764203943,0.1084255470031173
Biocon,BIOCON.NS,1355000000.0,1398000000.0,38638000000.0,13382000000.0,197837000000.0,162767000000.0,151792000000.0,153588000000.0,49439000000.0,330.75,8.46,1198060032,560707000000.0,0.9883063781024559,0.8227328558358649,0.2706769958939299,0.0068490727214828365,0.03618199699777421,39.09574468085106,165.13112424736994,0.06890943041552897,0.29028886744770444,0.035069102955639524
